id,concepts
W2009040141,"['electroporation device design', 'electroporation', 'dielectrophoresis', 'monoplast control', 'biochemical analysis on microchips', 'microchips', 'cell capture', 'electrode', 'fluid piping', 'non-uniform electric field', 'dielectrophoresis device', 'electroporation of monoplast', 'dynamic fostering of monoplast array', 'cell graphical techniques']"
W2009041408,"['silicon-aluminum oxide nitride tool', 'tool', 'turning ti6al4v alloy', 'ti6al4v alloy', 'coolant', 'cutting tool material', 'cast iron machining', 'nickel alloy machining', 'hardened steel machining', 'superalloy', 'si3n4 based ceramic', 'ceramic', 'cutting tool', 'melting point', 'tool wear', 'failure mode', 'temperature monitoring', 'cutting edge notching', 'adhesion wear', 'diffusion wear', 'bond strength']"
W2009049432,"['precipitation state', 'thermal stability', 'ultra-fine grained almnfe alloy', 'equal channel angular pressing', 'angular pressing', 'thermal annealing', 'annealing', 'preecipitation state', 'strengthening', 'coarse precipitates', 'softening', 'dispersoids', 'annealing']"
W2009050982,"['deposition condition', 'processing condition', 'lanio3 bottom electrode', 'bottom electrode', 'rf magnetron sputtering', 'magnetron sputtering', 'sputtering', 'ferroelectric property', 'pbt thin film capacitor', 'thin film capacitor', 'pbt', 'rf', 'lanio3 film', 'resistivity measurement', 'amorphous pzt deposition', 'amorphous pzt', 'crystallization furnace', 'x-ray diffraction', 'x-ray', 'diffraction', 'pzt film orientation', '100 orientation', 'remanent polarization', 'leakage current', 'ferroelectric fatigue performance', 'fatigue performance', 'switching cycle', 'switching']"
W2009067747,"['predication', 'wettability', 'sn droplet', 'copper plate', 'meam method', 'molecular dynamic', 'md methods', 'wetting and spreading phenomena', 'solder process', 'sessile-drop', 'contact angles', 'soldering process']"
W2009093332,"['phase transformation of coal', 'coal', 'high temperature', 'anthracite', 'bitumite', 'chemical composition', 'resistivity', 'microstructure', 'phase composition', 'internal migration', 'molecular functional group', 'heat treatment temperature', 'coal transformation', 'insulative phase', 'conductive phase', 'amorphous carbon', 'crystalline carbon', 'types of phases']"
W2009094126,"['numerical study', 'experimental study', 'dc casting', 'three-layer composite ingot', 'three-layer', 'composite ingot', 'aluminum alloy', 'temperature field', 'flow field', 'casting process', '4045/3004//4045', 'three-layer composite ingot with section of 500mm', '500mm', '420mm', 'casting temperature', 'casting speed', 'contacting height', 'cooling intensity', 'cooling plate', 'macro-morphology', 'microstructure', 'interface zone', 'interface bonding strength', 'solid supporting layer', 'melts blending', 'stable casting process', 'casting high quality composite ingots']"
W2009113688,"['microstructure', 'solder joint interconnect', 'used mobile phone', 'mobile phone', 'tin-lead solder', 'electronic package', 'printed circuit board', 'pcb', 'electronic devices', 'solder joint', 'microstructure investigation', 'optical microscopy', 'scanning electron microscopy', 'microscopy', 'cracks', 'void', 'solder area', 'cracks and voids', 'mobile phone', 'energy dispersive x-ray analysis', 'x-ray analysis', 'x-ray', 'energy dispersive', 'rich tin content', 'thermomechanical cause', 'thermal fatigue', 'void formation', 'thicker layer of intermetallic compound', 'intermetallic compound']"
W2009119187,"['gaas-based pseudomorphic high electron mobility transistor', 'pseudomorphic high electron mobility transistor', 'electron mobility transistor', 'high electron mobility', 'electroless-plated treated gate', 'gate', 'electroless-plated', 'surface treated gate', 'low-temperature low-energy deposition', 'deposition', 'metal-semiconductor interface', 'm-s interface', 'thermal damage', 'disordered state', 'auger electron spectroscopy', 'electron spectroscopy', 'scanning electron microscopic', 'microscopic', 'dc performance', 'thermal evaporation', 'evaporation', 'dc characteristic', 'temperature influence', 'thermal influence']"
W2009136323,"['mechanical property', 'ferrite number', '16cr-6ni stainless steel', 'stainless steel', 'subzero treatment temperature', 'subzero treatment', 'ferrite number change', 'room temperature mechanical property', 'heat treatment', 'characterization', 'tensile property', 'tensile', 'yield strength', 'uts', 'strain-induced martensite formation', 'strain-induced martensite', 'martensite', 'hardness change']"
W2009137533,"['so3 content', 'drying shrinkage cracking resistance', 'cement-fly ash stabilized crushed-stones', 'crushed-stones', 'cement', 'fly ash', 'splitting strength', 'resilient modulus', 'expansion-shrinkage', 'shrinkage coefficient', 'compensating shrinkage', 'micro expansion', 'pavement base', 'cement binder', 'so3 content in cement', 'cement', 'fly ash', 'pavement base', 'micro expansion', 'function of so3', 'drying shrinkage']"
W2009165402,"['corrosion protection', 'microstructure', 'magnesium alloy', 'anodized magnesium alloy', 'anodization', 'phosphate solution', 'conversion treatment', 'sodium chloride solution', 'sodium chloride', 'corrosion current', 'dissolving rate', 'anodized layer', 'conversion-treated layer', 'protective film', 'magnesium substrate', 'mechanical loss', 'magnesium oxide', 'phosphorus', 'corrosion protection property']"
W2009272055,"['stresses analysis', 'coarse grain znfilm', 'znfilm', 'tensile loading', 'xrd technique', 'xrd', 'coarse grain', 'single crystal', 'multicrystal material', 'stress determination', 'strain tensor', 'metric tensor', 'crystal reference system', 'hook's law', 'hook', 'thin galvanized coating', 'steel substrate', 'tensile loading', 'microstructure evolution', 'elastic heterogeneity', 'heterogeneity']"
W2009298510,"['microdiffraction study', 'microdiffraction', 'polycrystalline copper', 'copper', 'uniaxial tension deformation', 'deformation', 'synchrotron x-ray source', 'x-ray source', 'in-situ measurement', 'local orientation', 'strain', 'synchrotron x-ray microdiffraction', 'microdiffraction', 'advanced light source', 'heterogeneities', 'deformation-induced microstructure', 'microstructure', 'slip systems', 'grain']"
