id,display_name,works_count,type,alternate_titles
S26125866,Journal of Materials Science,43352,journal,
S154732359,Materials Science and Engineering A-structural Materials Properties Microstructure and Processing,40964,journal,
S43139658,Materials Science and Engineering: C,13490,journal,Materials science and engineering. C
S26018076,Computational Materials Science,11788,journal,
S87940674,Materials Science Forum,70327,journal,MSF
S88404446,Progress in Materials Science,1150,journal,
S82336448,Materials Science and Technology,13236,journal,Materials science & technology
S4210190818,Materials Science And Engineering: B,13005,journal,
S166781098,Journal of Materials Science: Materials in Medicine,6167,journal,
S135187643,Journal of Materials Science & Technology,8071,journal,JMST
S189509794,Journal of Materials Science: Materials in Electronics,22986,journal,
S150413162,Journal of Materials Science Letters,11472,journal,JMSL
S1018252914,Materials Science and Engineering R,679,journal,
S32516542,Materials Science and Engineering,5133,journal,
S82126420,Materials Science in Semiconductor Processing,7294,journal,
S99612230,Bulletin of Materials Science,5958,journal,
S4306401298,DORA Empa (Swiss Federal Laboratories for Materials Science and Technology (Empa)),5962,repository,
S7637673,Current Opinion in Solid State & Materials Science,1289,journal,Current opinion in solid state and materials science
S7159504,Physica Status Solidi A-applications and Materials Science,10083,journal,Pss. A (2005. Print)
S78690241,Annual Review of Materials Science,850,journal,
S117777245,Modelling and Simulation in Materials Science and Engineering,2794,journal,
S155241436,Advances in Materials Science and Engineering,5514,journal,
S2764741950,"Metallurgical transactions. A, Physical metallurgy and materials science",2057,journal,Process metallurgy
S4210220958,Springer series in materials science,3508,journal,Springer series in materials science (Print)
S2898151498,Procedia Materials Science,1606,journal,
S4306514344,IOP Conference Series: Materials Science and Engineering,6956,journal,
S2596376215,arXiv: Materials Science,11830,journal,
S56172486,Materials Science,3613,journal,
S68503223,Metallurgical and Materials Transactions B-process Metallurgy and Materials Processing Science,6471,journal,Process metallurgy and materials processing science
S63492512,Materials Science Reports,67,journal,
S165830345,Metallurgical and Materials Transactions,13225,journal,Physical metallurgy and materials science
S4210195564,Materials Science Poland,1017,journal,Materials Science
S4210206978,Soviet materials science,4806,journal,
S4210190402,Metallurgical transactions,6448,journal,Physical metallurgy and materials science
S52123058,Applied Physics A,18428,journal,"Applied physics. A, Materials science and processing (Print)"
S2764754586,Frontiers of Materials Science,527,journal,Cailiao kexue qianyan
S154646843,Science and Technology of Advanced Materials,2121,journal,Sci Technol Adv Mater
S4210234426,AIMS materials science,602,journal,
S4210230927,Nano materials science,187,journal,Nami cailiao kexue
S2764782236,Science China. Materials,1832,journal,
S2764682599,Journal of materials science & engineering,2766,journal,Journal of Materials Science and Engineering
S2764757272,Archives of materials science and engineering,1116,journal,
S2765077136,Polymer Materials Science and Engineering,2364,journal,Polymeric Materials Science & Engineering
S2898569932,Materials Science for Energy Technologies,341,journal,
S65777331,Reviews on Advanced Materials Science,451,journal,RAMS e-journal
S2500547560,Science of Advanced Materials,3350,journal,
S4210233750,ISRN Materials Science (Print),141,journal,
S5363645,Frontiers of Materials Science in China,291,journal,
S2898338117,Progress in Natural Science: Materials International,1731,journal,
S4210190103,Treatise on materials science and technology,432,journal,
S71986506,Materials Science-poland,786,journal,
S76813128,Materials Science Monographs,503,journal,
S122476552,Energy Materials: Materials Science and Engineering for Energy Systems,147,journal,EMA
S4210175061,MATEC web of conferences,27892,journal,"Materials science, engineering and chemistry web of conferences"
S123856118,The Open Materials Science Journal,222,journal,TOMSJ
S2764852145,DEStech Transactions on Materials Science and Engineering,1104,journal,DEStech transactions on  materials science & engineering
S93194650,Recent Patents on Materials Science,361,journal,
S2764741986,Polymeric materials science and engineering,1287,journal,PMSE
S2764950660,Computer methods in materials science,579,journal,Computer Methods in Material Science
S2764574293,American Journal of Materials Science,309,journal,
S2764851692,Journal of Materials Science Research,350,journal,
