id,doi,display_name,publication_date,abstract,concepts,source_id
W2050041941,https://doi.org/10.1007/s10853-010-5113-0,Review of the anatase to rutile phase transformation,2011-02-01,"Titanium dioxide, TiO2, is an important photocatalytic material that exists as two main polymorphs, anatase and rutile. The presence of either or both of these phases impacts on the photocatalytic performance of the material. The present work reviews the anatase to rutile phase transformation. The synthesis and properties of anatase and rutile are examined, followed by a discussion of the thermodynamics of the phase transformation and the factors affecting its observation. A comprehensive analysis of the reported effects of dopants on the anatase to rutile phase transformation and the mechanisms by which these effects are brought about is presented in this review, yielding a plot of the cationic radius versus the valence characterised by a distinct boundary between inhibitors and promoters of the phase transformation. Further, the likely effects of dopant elements, including those for which experimental data are unavailable, on the phase transformation are deduced and presented on the basis of this analysis.","[('Materials science', 0, '0.81135833'), ('Rutile', 2, '0.7428688'), ('Phase (matter)', 2, '0.6507772'), ('Anatase', 4, '0.634067'), ('Transformation (genetics)', 3, '0.57419986'), ('Solid mechanics', 2, '0.5412824'), ('Mineralogy', 1, '0.36827058'), ('Chemical engineering', 1, '0.2998615'), ('Composite material', 1, '0.14311364'), ('Geology', 0, '0.062708974'), ('Engineering', 0, '0.05988723'), ('Chemistry', 0, '0.05256179'), ('Organic chemistry', 1, '0.0489493'), ('Biochemistry', 1, '0.0'), ('Gene', 2, '0.0'), ('Photocatalysis', 3, '0.0'), ('Catalysis', 2, '0.0')]",S26125866
W1970667858,https://doi.org/10.1007/s10853-009-3874-0,Review: current international research into cellulose nanofibres and nanocomposites,2010-01-01,"This paper provides an overview of recent progress made in the area of cellulose nanofibre-based nanocomposites. An introduction into the methods used to isolate cellulose nanofibres (nanowhiskers, nanofibrils) is given, with details of their structure. Following this, the article is split into sections dealing with processing and characterisation of cellulose nanocomposites and new developments in the area, with particular emphasis on applications. The types of cellulose nanofibres covered are those extracted from plants by acid hydrolysis (nanowhiskers), mechanical treatment and those that occur naturally (tunicate nanowhiskers) or under culturing conditions (bacterial cellulose nanofibrils). Research highlighted in the article are the use of cellulose nanowhiskers for shape memory nanocomposites, analysis of the interfacial properties of cellulose nanowhisker and nanofibril-based composites using Raman spectroscopy, switchable interfaces that mimic sea cucumbers, polymerisation from the surface of cellulose nanowhiskers by atom transfer radical polymerisation and ring opening polymerisation, and methods to analyse the dispersion of nanowhiskers. The applications and new advances covered in this review are the use of cellulose nanofibres to reinforce adhesives, to make optically transparent paper for electronic displays, to create DNA-hybrid materials, to generate hierarchical composites and for use in foams, aerogels and starch nanocomposites and the use of all-cellulose nanocomposites for enhanced coupling between matrix and fibre. A comprehensive coverage of the literature is given and some suggestions on where the field is likely to advance in the future are discussed.","[('Materials science', 0, '0.8470441'), ('Nanocomposite', 2, '0.701862'), ('Cellulose', 2, '0.6875526'), ('Current (fluid)', 2, '0.64402026'), ('Polymer science', 1, '0.5590331'), ('Nanotechnology', 1, '0.48682898'), ('Solid mechanics', 2, '0.43459043'), ('Nanocellulose', 3, '0.41455233'), ('Composite material', 1, '0.40664843'), ('Engineering physics', 1, '0.33788532'), ('Engineering ethics', 1, '0.3343313'), ('Chemical engineering', 1, '0.33290082'), ('Engineering', 0, '0.09683144'), ('Electrical engineering', 1, '0.05314815')]",S26125866
W2023728301,https://doi.org/10.1007/s10853-008-3008-0,Review: liquid phase sintering,2009-01-01,"Liquid phase sintering (LPS) is a process for forming high performance, multiple-phase components from powders. It involves sintering under conditions where solid grains coexist with a wetting liquid. Many variants of LPS are applied to a wide range of engineering materials. Example applications for this technology are found in automobile engine connecting rods and high-speed metal cutting inserts. Scientific advances in understanding LPS began in the 1950s. The resulting quantitative process models are now embedded in computer simulations to enable predictions of the sintered component dimensions, microstructure, and properties. However, there are remaining areas in need of research attention. This LPS review, based on over 2,500 publications, outlines what happens when mixed powders are heated to the LPS temperature, with a focus on the densification and microstructure evolution events.","[('Materials science', 0, '0.8678397'), ('Sintering', 2, '0.80291796'), ('Solid mechanics', 2, '0.69807243'), ('Liquid phase', 2, '0.56795675'), ('Phase (matter)', 2, '0.5485469'), ('Polymer science', 1, '0.33734745'), ('Metallurgy', 1, '0.322788'), ('Composite material', 1, '0.30983195'), ('Thermodynamics', 1, '0.18443877'), ('Organic chemistry', 1, '0.0729292'), ('Chemistry', 0, '0.0'), ('Physics', 0, '0.0')]",S26125866
W2144804459,https://doi.org/10.1007/s10853-009-3643-0,Review: environmental friendly lead-free piezoelectric materials,2009-07-07,"Lead zirconate titanate (PZT) based piezoelectric materials are well known for their excellent piezoelectric properties. However, considering the toxicity of lead and its compounds, there is a general awareness for the development of environmental friendly lead-free materials as evidenced from the legislation passed by the European Union in this effect. Several classes of materials are now being considered as potentially attractive alternatives to PZTs for specific applications. In this paper, attempts have been made to review the recent developments on lead-free piezo materials emphasizing on their preparation, structure–property correlation, etc. In this context, perovskite systems such as bismuth sodium titanate, alkali niobates (ANbO3), etc. and non-perovskites such as bismuth layer-structured ferroelectrics are reviewed in detail. From the above study, it is concluded that some lead-free compositions show stable piezoelectric responses even though they do not match the overall performance of PZT. This has been the stimulant for growing research on this subject. This topic is of current interest to the researchers worldwide as evidenced from the large number of research publications. This has motivated us to come out with a review article with a view that it would give further impetus to the researchers already working in this area and also draw the attention of the others.","[('Materials science', 0, '0.7883462'), ('Environmentally friendly', 2, '0.78282756'), ('Piezoelectricity', 2, '0.66600925'), ('Solid mechanics', 2, '0.6427474'), ('Lead (geology)', 2, '0.5419001'), ('Nanotechnology', 1, '0.33633214'), ('Composite material', 1, '0.29889873'), ('Geomorphology', 1, '0.0'), ('Biology', 0, '0.0'), ('Geology', 0, '0.0'), ('Ecology', 1, '0.0')]",S26125866
W3172350939,https://doi.org/10.1007/bf01114293,Toughening mechanisms in elastomer-modified epoxies,1986-07-01,"Some brittle epoxies can be toughened significantly by the addition of an elastomeric phase. A great deal of controversy still exists on the nature of the toughening mechanisms. In this work tensile dilatometry at constant displacement rates was used to determine whether voiding, crazing or shear banding are the deformation mechanisms. Diglycidyl ether-bisphenol A epoxies toughened by various levels of several types of carboxyl-terminated butadiene nitrile liquid rubber were studied. The results indicate that at low strain rates the rubber particles simply enhance shear deformation. At sufficiently high strain rates the rubber particles cavitate and subsequently promote further shear deformation. No indication of crazing as an important toughening mechanism is found. No significant effect of rubber particle size or type can be ascertained.","[('Crazing', 3, '0.91428304'), ('Materials science', 0, '0.9126699'), ('Composite material', 1, '0.8120176'), ('Elastomer', 2, '0.7145275'), ('Natural rubber', 2, '0.7103254'), ('Nitrile rubber', 3, '0.56802344'), ('Brittleness', 2, '0.55601585'), ('Polybutadiene', 4, '0.503982'), ('Deformation (meteorology)', 2, '0.487798'), ('Ultimate tensile strength', 2, '0.48623863'), ('Shear (geology)', 2, '0.45513546'), ('Strain rate', 2, '0.42432323'), ('Polymer', 2, '0.3198755'), ('Copolymer', 3, '0.098603845')]",S26125866
W2033304583,https://doi.org/10.1023/b:jmsc.0000016173.73733.dc,Microcapsule induced toughening in a self-healing polymer composite,2004-03-01,"Microencapsulated dicyclopentadiene (DCPD) healing agent and Grubbs' Ru catalyst are incorporated into an epoxy matrix to produce a polymer composite capable of self-healing. The fracture toughness and healing efficiency of this composite are measured using a tapered double-cantilever beam (TDCB) specimen. Both the virgin and healed fracture toughness depend strongly on the size and concentration of microcapsules added to the epoxy. Fracture of the neat epoxy is brittle, exhibiting a mirror fracture surface. Addition of DCPD-filled urea-formaldehyde (UF) microcapsules yields up to 127% increase in fracture toughness and induces a change in the fracture plane morphology to hackle markings. The fracture toughness of epoxy with embedded microcapsules is much greater than epoxy samples with similar concentrations of silica microspheres or solid UF polymer particles. The increased toughening associated with fluid-filled microcapsules is attributed to increased hackle markings as well as subsurface microcracking not observed for solid particle fillers. Overall the embedded microcapsules provide two independent effects: the increase in virgin fracture toughness from general toughening and the ability to self-heal the virgin fracture event.","[('Materials science', 0, '0.9107822'), ('Epoxy', 2, '0.8272926'), ('Composite material', 1, '0.8063163'), ('Fracture toughness', 2, '0.74739635'), ('Composite number', 2, '0.6295556'), ('Brittleness', 2, '0.55756795'), ('Polymer', 2, '0.50606674'), ('Toughness', 2, '0.4301277')]",S26125866
W2069651853,https://doi.org/10.1007/bf02396802,Ultra-high-strength polyethylene filaments by solution spinning/drawing,1980-02-01,"This paper deals with ultra-high-strength monofilaments of linear polyethylene that are produced by solution spinning and subsequent hot drawing at 120° C. The influence of the draw ratio on the mechanical and thermal properties of the fibres was investigated. Some salient features of a polyethylene filament with a draw ratio of 31.7 are: tensile strength at break=3.0 GPa, Young's modulus=90 GPa and DSC-melting point at a scan speed of 10° C min−1=145.5° C. The modulus was found to depend linearly on the draw ratio. The tensile strength tended, by contrast, to approach an upper limit at high draw ratios. Additional morphological and X-ray studies revealed an extremely good orientation of the macromolecules in the fibre direction of the highly drawn polyethylene monofilaments.","[('Materials science', 0, '0.8789351'), ('Spinning', 2, '0.8413192'), ('Solid mechanics', 2, '0.68965757'), ('Composite material', 1, '0.663108'), ('Polyethylene', 2, '0.63858837'), ('Polymer science', 1, '0.49630767'), ('Melt spinning', 3, '0.45725176'), ('Polymer', 2, '0.442473')]",S26125866
W1638951802,https://doi.org/10.1007/bf01174528,Toughening mechanisms in elastomer-modified epoxies,1989-07-01,"The role Of matrix ductility on the toughenability and toughening mechanism of elastomer-modified, diglycidyl ether of bisphenol A (DGEBA)-based epoxies is investigated. Matrix ductility is varied by using epoxide resins of varying epoxide monomer molecular weights. These epoxide resins are cured using 4,4′ diaminodiphenyl sulphone (DDS) and, in some cases, modified with 10 vol% carboxyl-terminated copolymer of butadiene and acrylonitrile (CTBN). Fracture toughness values for the neat epoxies are found to be almost independent of the monomer molecular weight of the epoxide resin used. However, the fracture toughness of the elastomer-modified epoxies is found to be very dependent upon the epoxide monomer molecular weight. Tensile dilatometry indicates that the toughening mechanism, when present, is similar to the mechanism found for piperidine cured, elastomer-modified epoxies studied previously. Scanning electron microscopy and optical microscopy techniques corroborate this finding.","[('Materials science', 0, '0.899822'), ('Toughening', 3, '0.8485317'), ('Elastomer', 2, '0.8287363'), ('Solid mechanics', 2, '0.6686056'), ('Composite material', 1, '0.65610415'), ('Epoxy', 2, '0.5501807'), ('Copolymer', 3, '0.4419263'), ('Polymer science', 1, '0.42486683'), ('Polymer', 2, '0.42235714'), ('Toughness', 2, '0.18527815')]",S26125866
W1998874719,https://doi.org/10.1007/bf01184979,Influence of particle size and particle size distribution on toughening mechanisms in rubber-modified epoxies,1991-07-01,"The principal toughening mechanism of a substantially toughened, rubber-modified epoxy has again been shown to involve internal cavitation of the rubber particles and the subsequent formation of shear bands. Additional evidence supporting this sequence of events which provides a significant amount of toughness enhancement, is presented. However, in addition to this well-known mechanism, more subtle toughening mechanisms have been found in this work. Evidence for such mechanisms as crack deflection and particle bridging is shown under certain circumstances in rubber-modified epoxies. The occurrence of these toughening mechanisms appears to have a particle size dependence. Relatively large particles provide only a modest increase in fracture toughness by a particle bridging/crack deflection mechanism. In contrast, smaller particles provide a significant increase in toughness by cavitation-induced shear banding. A critical, minimum diameter for particles which act as bridging particles exists and this critical diameter appears to scale with the properties of the neat epoxy. Bimodal mixtures of epoxies containing small and large particles are also examined and no synergistic effects are observed.","[('Toughening', 3, '0.8212409'), ('Natural rubber', 2, '0.7578856'), ('Materials science', 0, '0.6912434'), ('Composite material', 1, '0.6173414'), ('Particle size', 2, '0.59580106'), ('Particle (ecology)', 2, '0.58593297'), ('Particle-size distribution', 3, '0.55604225'), ('Chemical engineering', 1, '0.1547224'), ('Toughness', 2, '0.123773456'), ('Geology', 0, '0.10791293'), ('Engineering', 0, '0.056421757'), ('Oceanography', 1, '0.0')]",S26125866
W1980885978,https://doi.org/10.1023/b:jmsc.0000043583.47148.31,Review of recent studies in magnesium matrix composites,2004-10-01,"In this paper, recent progress in magnesium matrix composite technologies is reviewed. The conventional and new processes for the fabrication of magnesium matrix composites are summarized. The composite microstructure is subsequently discussed with respect to grain refinement, reinforcement distribution, and interfacial characteristics. The mechanical properties of the magnesium matrix composites are also reported.","[('Materials science', 0, '0.8714248'), ('Magnesium', 2, '0.80478656'), ('Composite material', 1, '0.7218087'), ('Microstructure', 2, '0.716944'), ('Composite number', 2, '0.69603276'), ('Solid mechanics', 2, '0.63593656'), ('Matrix (chemical analysis)', 2, '0.5965133'), ('Fabrication', 3, '0.59315455'), ('Metallurgy', 1, '0.22803527'), ('Medicine', 0, '0.0'), ('Alternative medicine', 2, '0.0'), ('Pathology', 1, '0.0')]",S26125866
