,3,2,4,1,0,origin,5
0,130585,16652,238,40,1,148031,
1,137787,8723,984,21,1,148031,
2,132411,7547,7532,25,1,148031,
3,138556,8118,827,14,1,148031,
4,61226,85598,1,690,1,148031,
5,134852,12070,567,26,1,148031,
6,114871,32541,10,93,1,148031,
7,133623,13128,742,22,1,148031,
8,111513,35850,11,141,1,148031,
9,135862,8994,2638,21,1,148031,
10,134259,11008,2203,45,1,148031,
11,132683,14336,464,32,1,148031,
12,131406,7567,8518,24,1,148031,
13,98757,48495,4,259,1,148031,
14,133240,14055,189,31,1,148031,
15,138884,6101,2509,21,1,148031,
16,127573,19778,105,59,1,148031,
17,136120,4543,6828,23,1,148031,1.0
18,138655,7221,1612,27,1,148031,
19,63130,83798,1,586,1,148031,
20,122763,24646,47,59,1,148031,
21,108295,39080,13,127,1,148031,
22,132971,13998,476,70,1,148031,
23,116184,31187,16,128,1,148031,
24,134020,13241,208,46,1,148031,
25,135320,10342,1826,27,1,148031,
26,132256,14722,512,25,1,148031,
27,125015,22358,64,78,1,148031,
28,132324,14343,814,34,1,148031,
29,125759,2533,19206,17,1,148031,
30,75864,71217,1,433,1,148031,
31,133298,14062,114,41,1,148031,
32,130509,16832,123,51,1,148031,
33,138157,8318,1023,17,1,148031,
34,126384,20982,81,68,1,148031,
35,134582,11815,1053,65,1,148031,
36,129713,17691,80,31,1,148031,
37,135825,10598,1051,41,1,148031,
38,114824,32562,29,100,1,148031,
39,90363,56817,4,331,1,148031,
40,127411,19724,316,64,1,148031,
41,136785,9880,820,30,1,148031,
42,132110,13799,1570,36,1,148031,
43,129932,17256,270,57,1,148031,
44,135700,7737,4049,29,1,148031,
45,138216,7847,1423,29,1,148031,
46,79730,67363,1,421,1,148031,
47,139185,6287,2009,34,1,148031,
48,133996,12964,527,28,1,148031,
49,119922,27479,31,83,1,148031,
