,id,generated
0,W165890859,"['kntn 100 surface', 'kntn', 'surface', 'first-principles study', 'first-principles', 'potassium natrium tantalite niobate', 'potassium natrium', 'tantalite niobate', 'a-site substitution', 'potassium tantalite niobate', 'na cation', 'k cation', 'geometrical structure optimization', 'band structure', 'density of states', 'dielectric function', 'refractive index', 'energy-loss function', 'dielectric', 'refractive', 'kntn bulk', 'ktn surfaces', 'surface']"
1,W2885439474,"['structural stability', 'electronic properties', '0-0-0-1 inversion domain boundary', 'inversion domain boundary', 'iii-nitrides', 'monte carlo simulation', 'monte carlo', 'stillinger-weber empirical potential', 'empirical potential', 'inversion domain boundary configuration', 'structural searching process', 'energy calculation', 'density functional theory', 'first-principle calculation', 'electron localization function', 'bader population analysis', 'hole gas', 'electron gas', 'polarization discontinuity', 'projected density of states', 'density of states', 'valance band edge', 'fermi level', 'hybridization state', 'p dopant', 'electron excess']"
2,W2313503269,"['rubber composite', 'elliptic heterogeneous rubber', 'heterogeneous rubber', 'tensile deformation', 'mooney-rivlin strain energy function', 'mooney-rivlin', 'strain energy function', 'finite element method', 'numerical simulation', 'deformation mode', 'strain energy', 'elliptic region', 'strain energy distribution']"
3,W2392876774,"['crystallization studies', 'polypropylene', 'carbon nanotubes', 'nanotubes', 'filller', 'melting process', 'nucleation', 'pp/cnts composite', 'cnts', 'melting process', 'tem', 'sem', 'dsc', 'tga', 'crystallization', 'thermal stability', 'fire retardant']"
4,W2365080320,"['matrix micro-property determination', 'matrix micro-property', 'tungsten alloy', 'inverse method', 'microhardness measurement', 'micro elastic modulus', 'elastic modulus', 'micro elastic-plastic properties', 'elastic-plastic properties', 'nano-indentation experiment', 'nano-indentation', 'finite element computation', 'computation', 'macro experiment', 'yield strength', 'hardening modulus']"
5,W2070410562,"['wet chemical separation', 'low-temperature gaas layers', 'low-temperature layers', 'gaas layers', 'gaas substrate', 'substrate', 'molecular beam epitaxy', 'mbe', 'etching', 'citric acid based etchant', 'citric acid', 'etchant', 'resistivity', 'hall mobility', 'hall effect']"
6,W2058639253,"['dielectric function', 'wurtzite inn', 'inn', 'in-rich inaln alloy', 'inaln alloy', 'ellipsometric study', 'ellipsometry', '1120 a-plane inn film', 'a-plane', 'low carrier density 0001 c-plane film', 'c-plane', 'carrier density', 'imaginary part of dielectric function', 'dielectric', 'band gap renormalization', 'burstein-moss shift', 'in-shift', 'alloy composition', 'bowing parameter', 'optical anisotropy', 'brillouin zone', 'crystal field energy', 'spin-orbit energy', 'third derivative', 'transition energy']"
7,W2996556742,"['manufactured sand-soil', 'sand-soil', 'soil bearing capacity', 'soil', 'mechanical response', 'rotary penetration', 'rock strength parameter test device', 'rock strength', 'soil moisture content', 'confining pressure', 'drilling torque', 'bearing capacity', 'failure detection verification', 'taihang mountains expressway', 'beijing', 'rigid-soft interface grid body', 'sand-soil particles', 'microcosmic aspect', 'mechanical response', 'force parameter']"
8,W2119681445,"['hydrogen storage', 'nanograined free-standing film', 'free-standing film', 'magnesium-nickel', 'nanoscale grain structure', 'pulsed laser deposition', 'film delaminating process', 'hydrogen sorption', 'desorption property', 'oxidation reduction', 'sandwiched free-standing film structure', 'nanometer-thick palladium layer', 'palladium layer', 'hydrogen uptake', 'hydrogen release', 'catalyst', 'gravity meter', 'hydrogen storage capacity', 'bulk target material', 'vant-hoff plot', 'thermodynamic stability', 'magnesium-nitrogen']"
9,W2965561074,"['dense metal diboride ceramic', 'pure metal diboride ceramic', 'metal diboride', 'high-entropy metal diboride', 'self-synthesized powder', 'boro/carbothermal reduction', 'bctr', 'oxide mixture', 'boro/carbothermal reduction', 'x-ray diffraction pattern', 'elemental mapping', 'niobium and zirconium atoms', 'niobium', 'zirconium', 'spark plasma sintering', 'sps', 'relative density', 'rapid grain growth', 'grain growth', 'vickers hardness', 'youngs modulus', 'fracture toughness']"
