id,generated
W2900082915,"['first-principles calculation', 'phase transition', 'elasticity', 'phonon spectra', 'thermodynamic property', 'hafnium', 'structural transformation', 'hydrostatic compression', 'density functional theory', 'first-principle density functional theory', 'density functional theory', 'elastic behavior', 'phonon spectrum', 'thermal property', 'bulk modulus', 'entropy', 'heat capacity', 'phonon spectra', 'phonon density state', 'quasiharmonic approximation', 'debye model', 'gibbs free energy', 'pressure-temperature phase diagram']"
W2416971465,"['residual stress distribution', '6061-t6 aluminum alloy', 'aluminum alloy', 'shear deformation', 'friction effect', 'ecap', 'aluminum alloy', 'deformation heterogeneity', 'x-ray diffraction', 'x-ray', 'diffraction', 'surface friction', 'deformation effect', 'x-ray diffraction', 'diffraction', 'residual stress', 'volumetric section', 'synchrotron diffraction', 'diffraction', 'microhardness mapping', 'residual stress', 'finite element analysis', 'finite element', 'strain variation', 'deformation', 'residual stress', 'surface deformation', 'deformation symmetry', 'incomplete symmetry', 'deformation region', 'stress variation']"
W2080720507,"['simulating interaction', 'straight boundary', 'particle', 'boundary interaction', 'particle-boundary interaction', 'particle-straight boundary interaction', 'straight boundary-particle interaction', 'interaction energy', 'coarse particle', 'grain boundary', 'bulk stored energy difference', 'energy difference', 'lattice temperature', 'interaction energy variation', 'particle force', 'grain boundary velocity']"
W2564831122,"['dendritic growth shape', 'kinetic monte carlo model', 'monte carlo', 'crystal growth', 'continuum model', 'surface energy', 'six-pointed dendrite', 'dendrite', 'nanoscale model', 'kinetic monte carlo simulation', 'simulation', 'truncation radius', 'atomic interaction', 'bond-counting model', 'surface energy', 'equilibrium shape', 'nanodendritic growth shape', 'cubic harmonic expansion', 'surface energy anisotropy', 'continuum model']"
W2986467929,"['atomic structure', 'preferential oxidation', 'alloys', 'amorphous structure', 'crystalline structure', 'cu33at.%zr67at.%, 'cu zr', 'thermal oxidation', 'oxidation kinetic', 'oxide phase evolution', 'parent alloy substrate', 'structural order', 'amorphous cu33at.%zr67at.%, 'crystalline cu zr', 'strong preferential oxidation', 'zr', 'microstructure', 'oxide overgrowth', 'zr-depletion zone', 'zr oxide overlayer growth front', 'dissolved o', 'nucleation barrier', 'crystalline oxide nucleation', 'surface engineering', 'metallic alloy']"
W2006751105,"['pressureless sintering', 'sintering', 'carbon-coated zirconium diboride powder', 'carbon-coated zirconium diboride', 'zirconium diboride', 'powder', 'sintering temperature', 'external pressure', 'thermodynamic analysis', 'carbon reaction', 'densification', 'microstructure', 'property']"
W3175304074,"['modulus improvement', 'strength improvement', 'multi-dimensional hybrid composite', 'hybrid composite', 'synergistic reinforcement', '1d fiber', '0d particle filler', 'particle filler', 'carbon fiber-reinforced polycarbonate composite', 'carbon fiber-reinforced polycarbonate', 'polycarbonate', 'percolation threshold', 'alumina toughened zirconia', 'alumina', 'zirconia', 'mechanical property deterioration', 'hashin-shtrikman analysis', 'suquet analysis', 'chopped carbon fiber', 'carbon fiber', 'hashin-shtrikman analysis', 'suquet analysis', 'interstitial site', 'dispersion', 'agglomeration', 'electrical conductivity measurement', 'polycarbonate hybrid composite', 'hybrid composite', 'specific strength', 'magnesium alloy', 'steel', 'aluminum alloy', 'steel and aluminum alloy', 'steel and aluminum alloy combination', 'steel and aluminum combination', 'density', 'engineering material']"
W1986073609,"['numerical study', 'laser forming', 'metal plate', 'pre-loads', 'laser forming process', 'laser', 'forming', 'numerical investigation', 'finite element analysis', 'nonlinear finite element analysis', 'finite element', 'pure compression', 'pure tension', 'pure bending', 'bent angle', 'laser beam', 'bent angle increase', 'bent angle decrease']"
W2792916278,"['solution-processable organic gate dielectric', 'solution-processable organic', 'hybrid gate dielectric', 'hybrid', 'printed electronics', 'electronic device', 'printable material', 'flexible circuit', 'sensor', 'backplane', 'active-matrix display', 'charge transport', 'polymer dielectric', 'hybrid dielectric', 'gate dielectric', 'electrical insulating property', 'charge transport interface']"
W2066165582,"['hydrogen induced phase transition', 'phase transition', 'amorphous silicon', 'c-silicon', 'real time infrared spectroscopy', 'infrared spectroscopy', 'process monitor', 'spectroscopy', 'h bonding configuration', 'h concentration', 'film thickness', 'spectroscopic ellipsometry', 'amorphous silicon film', 'crystalline silicon film', 'dc reactive magnetron sputtering', 'magnetron sputtering', 'sputtering', 'atomic hydrogen', 'hydrogen', 'hydrogen plasma', 'enhanced etching', 'etching', 'nucleation', 'c-sil phase', 'diffusion', 'surface species']"
