,id,generated
0,W165890859,"['kntn surface', 'surface property', 'first-principles study', 'first-principles', 'potassium natrium tantalite niobate', 'potassium natrium tantalite', 'tantalite', 'niobate', 'surface property', 'band structure', 'density of states', 'optical property', 'physical property', 'dielectric function', 'refractive index', 'energy-loss function', 'loss function']"
1,W2885439474,"['structural stability', 'electronic properties', '0001 plane inversion domain boundary', 'inversion domain boundary', 'group iii-nitride', 'monte carlo simulation', 'stillinger-weber empirical potential', 'empirical potential', 'stillinger-weber', 'first-principle calculation', 'density functional theory', 'electron localization function', 'localization function', 'bader population analysis', 'projected density of states', 'density of states', 'metallic character', 'valence band edge', 'fermi level', 'hybridization states', 'valance band edge', 'conduction band maximum', 'electron excess', 'boundary']"
2,W2313503269,"['deformation', 'rubber composite', 'elliptic heterogeneous rubber', 'rubber', 'non-uniform distribution of stress and strain', 'stress', 'strain', 'plane model', 'plane stress', 'mooney-rivlin strain energy function', 'mooney-rivlin', 'finite element method', 'numerical simulation', 'deformation mode', 'constant strain', 'strain energy function', 'elliptic region', 'tensile deformation', 'tensile direction', 'deformation mode of rubber composite', 'stress and strain', 'constraint ratio']"
3,W2392876774,"['crystallization study', 'polypropylene', 'carbon nanotubes', 'fillers', 'nucleation', 'melting process', 'slenderness ratio', 'polymer', 'filling', 'transmission electron microscope', 'scanning electron microscope', 'differential scanning calorimeter', 'thermal analysis', 'fire retardant']"
4,W2365080320,"['matrix micro-property', 'tungsten alloy', 'inverse method', 'microhardness', 'micro elastic modulus', 'elastic modulus', 'micro-elastic modulus', 'micro-yield strength', 'yield strength', 'microhardening modulus', 'micro-elastic-plastic property', 'micro-elastic-plastic', 'nano-indentation experiment', 'nano-indentation', 'finite element computation', 'macro experiment']"
5,W2070410562,"['wet chemical separation', 'low-temperature gaas layers', 'low-temperature', 'gaas substrates', 'epitaxial layers', 'molecular beam epitaxy', 'molecular beam epitaxy', 'al as etch-stop interlayer', 'al as', 'etch-stop interlayer', 'sample growth temperature', 'citric acid-based etchant', 'etchant', 'resistivity', 'hall mobility', 'low-temperature gaas layers']"
6,W2058639253,"▶ ['dielectric function', 'wurtzite inn', 'inn', 'in-rich inaln alloys', 'in-rich', 'inaln alloys', 'analloy', 'ellipsometric studies', '1120 a-plane inn film', '1120', 'a-plane film', 'low carrier density c-plane films', 'carrier density', 'band gap renormalization', 'burstein-moss shift', 'band gap', 'optical anisotropy', 'polarization dependence of transition probabilities', 'transition probabilities', 'absorption edges', 'crystal field energy', 'spin-orbit energy', 'band structure']"
7,W2996556742,"at: ['manufactured sand-soil bearing capacity', 'bearing capacity', 'w-t-bc model', 'rotary penetration', 'rock and soil strength parameter test device', 'flexible boundary loading device', 'rock and soil strength parameter test', 'digital rotary penetration', 'drilling torque', 'failure detection verification', 'taihang mountains expressway', 'beijing', 'conformity', 'rigid-soft interface grid body', 'sand-soil particles']"
8,W2119681445,"['hydrogen storage characteristic', 'nanograined free-standing magnesiumnickel film', 'free-standing magnesiumnickel film', 'magnesiumnickel film', 'nanoscale grain structure', 'pulsed laser deposition', 'film delaminating process', 'hydrogen sorption', 'desorption', 'oxidation', 'sandwiched free-standing film structure', 'free-standing film structure', 'nanometer-thick palladium layer', 'palladium layer', 'hydrogen uptake', 'hydrogen release', 'vant-hoff plot', 'thermodynamic stability', 'solid-state hydrogen storage research']"
9,W2965561074,"['dense high-entropy metal diboride ceramic', 'high-entropy metal diboride ceramic', 'metal diboride ceramic', 'ceramic', 'self-synthesized powder', 'powder', 'boro/carbothermal reduction approach', 'boro/carbothermal reduction', 'carbothermal reduction', 'oxide mixture', 'mo x', 'oxide', 'b4c', 'source of b', 'source of c', 'vacuum', 'x-ray diffraction', 'x-ray', 'diffraction pattern', 'phase', 'morphology', 'solid solution', 'solid solution evolution process', 'solid solution', 'niobium', 'zirconium', 'spark plasma sintering', 'sparks plasma sintering', 'sintering', 'grain growth', 'vickers hardness', 'youngs modulus', 'fracture toughness', 'fracture', 'toughness', 'load', '1kg', 'powder', 'density', 'oxide phase']"
