id,generated
W165890859,"['kntn surface', 'surface property', 'first-principles study', 'potassium natrium tantalite niobate', 'tantalite niobate', 'niobate', 'potassium tantalite niobate', 'tantalite', 'surface property', 'band structure', 'density of states', 'optical property', 'physical property', 'dielectric function', 'refractive index', 'energy-loss function', 'loss function', 'kntn bulk', 'kntn']"
W2885439474,"['structural stability', 'electronic properties', '0001 plane inversion domain boundary', 'inversion domain boundary', 'group iii-nitride', 'monte carlo simulation', 'stillinger-weber empirical potential', 'empirical potential', 'stillinger-weber', 'density functional theory', 'electron localization function', 'localization function', 'bader population analysis', 'projected density of states', 'density of states', 'valence band edge', 'fermi level', 'metallic character', 'p dopant', 'hybridization states', 'conduction band maximum', 'conduction band', 'electron excess']"
W2313503269,"['deformation', 'rubber composite', 'elliptic heterogeneous rubber', 'rubber', 'non-uniform stress distribution', 'non-uniform strain distribution', 'stress distribution', 'strain distribution', 'plane stress', 'mooney-rivlin strain energy function', 'mooney-rivlin', 'finite element method', 'numerical simulation', 'deformation mode', 'constant strain', 'strain', 'stress', 'elliptic region', 'elastic constant', 'tensile deformation', 'plane stress', 'strain energy function', 'finite element method', 'numerical simulation', 'deformation mode', 'constraint ratio']"
W2392876774,"['polypropylene', 'carbon nanotubes', 'filler', 'nucleation', 'melting process', 'slenderness ratio', 'filling', 'polymer', 'transmission electron microscope', 'scanning electron microscope', 'differential scanning calorimeter', 'thermal gravimetric analyzer']"
W2365080320,"['matrix micro-property', 'tungsten alloy', 'inverse method', 'micro-property determination', 'microhardness', 'micro elastic modulus', 'elastic modulus', 'micro-elastic property', 'micro-plastic property', 'nano-indentation experiment', 'nano-indentation', 'yield strength', 'hardening modulus', 'finite element computation', 'macro experiment']"
W2070410562,"['wet chemical separation', 'low-temperature gaas layers', 'low-temperature', 'gas', 'as substrate', 'substrate', 'epitaxial layer', 'molecular beam epitaxy', 'mbe', 'etch-stop interlayer', 'interlayer', 'sample growth temperature', 'etchant', 'resistivity', 'hall mobility', 'hall', 'mobility']"
W2058639253,"['dielectric function', 'wurtzite inn', 'inn', 'in-rich inaln alloys', 'in-rich', 'inaln alloys', 'analloy', 'ellipsometric studies', '1120 a-plane inn film', '1120 film', 'low carrier density c-plane films', 'c-plane films', 'carrier density', 'band gap renormalization', 'burstein-moss shift', 'band gap', 'optical anisotropy', 'polarization dependence', 'transition probabilities', 'absorption edges', 'crystal field energy', 'spin-orbit energy', 'band structure']"
W2996556742,"['manufactured sand-soil bearing capacity', 'manufactured sand', 'soil bearing capacity', 'w-t-bc model', 'rock and soil mechanical parameter test device', 'rock and soil strength parameter test device', 'flexible boundary loading device', 'three-dimensional flexible boundary loading device', 'drilling torque', 'bearing capacity', 'water content', 'failure detection verification', 'taihang mountains expressway', 'beijing', 'conformity', 'rigid-soft interface grid body', 'sand-soil particles', 'microcosmic aspect', 'mechanical response', 'force parameter']"
W2119681445,"['hydrogen storage characteristic', 'nanograined free-standing magnesiumnickel film', 'free-standing magnesiumnickel film', 'magnesiumnickel film', 'nanoscale grain structure', 'pulsed laser deposition', 'film delaminating process', 'hydrogen sorption', 'desorption', 'oxidation', 'sandwiched free-standing film structure', 'free-standing film structure', 'nanometer-thick palladium layer', 'palladium layer', 'hydrogen uptake', 'hydrogen release', 'vant-hoff plot', 'thermodynamic stability', 'solid-state hydrogen storage research']"
W2965561074,"['dense high-entropy metal diboride ceramic', 'high-entropy metal diboride ceramic', 'metal diboride ceramic', 'ceramic', 'self-synthesized powder', 'powder', 'boro/carbothermal reduction', 'boro/carbothermal reduction approach', 'carbothermal reduction', 'oxide mixture', 'mo x', 'oxide mixture', 'titanium', 'hafnium', 'zirconium', 'nbt', 'ta-boride', 'b4c', 'vacuum', 'x-ray diffraction', 'x-ray', 'diffraction', 'phase', 'morphology', 'solid solution', 'solid solution evolution', 'x-ray mapping', 'elemental mapping', 'niobium', 'zirconium', 'spark plasma sintering', 'sparks plasma sintering', 'sintering', 'rapid grain growth', 'grain size', 'vickers hardness', 'youngs modulus', 'fracture toughness', 'fracture', 'toughness', '1kg load', 'powder', 'density', 'oxide']"
