id,generated
W2900082915,"['phase transition', 'elasticity', 'phonon spectra', 'thermodynamic property', 'hafnium', 'structural transformation', 'elastic behavior', 'phonon spectrum', 'thermodynamic property', 'hydrostatic compression', 'density functional theory', 'equilibrium structural parameter', 'transition pressure', 'elastic constant', 'mechanical stability', 'phase', 'thermal property', 'bulk modulus', 'entropy', 'heat capacity', 'phonon spectra', 'phonon density of states', 'quasiharmonic approximation', 'debye model', 'gibbs free energy', 'pressure-temperature phase diagram']"
W2416971465,"['residual stress distribution', 'residual stress', 'shear deformation', '6061-t6 aluminum alloy', 'aluminum alloy', 'ecaped aluminum', 'friction effect', 'deformation heterogeneity', 'x-ray diffraction', 'x-ray', 'diffraction', 'residual stresses', 'surface microhardness mapping', 'microhardness mapping', 'finite element analysis', 'finite element', 'strain variation', 'hkl planes', 'deformation', 'stress']"
W2080720507,"['straight boundary', 'particle interaction', 'potts model simulation', 'simulation', 'coarse particle', 'bulk stored energy difference', 'energy difference', 'boundary', 'grain boundary', 'lattice temperature', 'maximum force offered', 'boundary velocity', 'boundary', 'force']"
W2564831122,"['dendritic growth shape', 'dendritic growth', 'kinetic monte carlo model', 'monte carlo model', 'six pointed dendrite', 'continuum model', 'surface energy', 'growth morphology', 'nanoscale model', 'kinetic monte carlo simulation', 'monte carlo simulation', 'bond-counting model', 'bond-counting', 'nanodendritic growth', 'equilibrium shape', 'kmc simulation', 'surface energy anisotropy', 'cubic harmonic expansion', 'harmonic expansion']"
W2986467929,"['atomic structure', 'preferential oxidation', 'oxidation', 'alloy', 'amorphous cuzr', 'amorphous', 'crystalline cuzr', 'crystalline', 'parent alloy substrate', 'thermal oxidation', 'oxidation kinetic', 'oxide phase evolution', 'thermal oxidation', 'amorphous cuzr', 'crystalline cuzr', 'structural order', 'lack of structural order', 'amorphous cuzr', 'crystalline cuzr', 'oxidation kinetic', 'microstructure of oxide overgrowth', 'overgrowth', 'zro depletion zone', 'zro', 'depletion zone', 'atomic mobility', 'nucleation barrier', 'surface engineering', 'metallic alloy', 'surface modification']"
W2006751105,"['pressureless sintering', 'sintering', 'carbon-coated zirconium diboride', 'carbon-coated', 'zirconium diboride', 'powders', 'density', 'external pressure', 'relative density', 'uncoated zrbf2', 'coated zrbf2', 'carbon', 'thermodynamic analysis', 'carbon reacted', 'impurity removal', 'densification', 'grain coarsening', 'particle size', 'carbon content', 'densificaton', 'microstructure', 'properties']"
W3175304074,"['modulus improvement', 'strength improvement', 'multi-dimensional hybrid composite', 'hybrid composite', '1d fiber reinforcement', '0d particle filler', 'particle filler', 'alumina toughened zirconia', 'aluminum', 'titanium', 'carbon fiber-reinforced polycarbonate composite', 'carbon fiber-reinforced polycarbonate', 'polycarbonate', 'storage modulus', 'yield strength', 'mechanical property deterioration', 'hashin-shtrikman analysis', 'suquet analysis', 'interstitial site', 'pccf composite', 'polycarbonate hybrid composite', 'hybrid composite', 'magnesium alloy', 'steel', 'aluminum alloy', 'strength and density', 'engineering material']"
W1986073609,"['numerical study', 'laser forming', 'metal plates', 'pre-loads', 'bent angle', 'plate', 'laser forming process', 'nonlinear finite element analysis program', 'finite element analysis', 'ansys', 'pure compression', 'pure tension', 'pure bending', 'bending', 'laser beam']"
W2792916278,"['solution-processable organic hybrid gate dielectric', 'organic hybrid gate dielectric', 'gate dielectric', 'printed electronics', 'printed circuit', 'flexible circuit', 'sensor', 'active-matrix display', 'polymer dielectric', 'hybrid dielectric', 'charge transport', 'electrical insulating property', 'insulating property', 'dielectric design', 'dielectric', 'device engineering', 'low-voltage', 'high-performance']"
W2066165582,"['hydrogen induced phase transition', 'phase transition', 'a-si:h', 'c-si:h', 'real time infrared spectroscopy', 'infrared spectroscopy', 'spectroscopy', 'hydrogenated amorphous silicon', 'hydrogenated microcrystalline silicon', 'microcrystalline silicon', 'film', 'h bonding configuration', 'h concentration', 'spectroscopic ellipsometry', 'ellipsometry', 'deposition', 'dc reactive magnetron sputtering', 'magnetron sputtering', 'atomic hydrogen', 'hydrogen plasma', 'hydrogen coverage', 'thermal desorption', 'hydrogenated phase transition', 'nucleation of c-si phase', 'surface species diffusion', 'diffusion']"
W2054881844,"['statistical prediction', 'textural property', 'mixed oxide', 'organic glycol-type polymer', 'organic polymer', 'glycol-type polymer', 'polymer', 'co-precipitation', 'polyethylene glycol', 'polypropylene glycol', 'pore-regulating agent', 'surface area', 'pore structure', 'full 2 3 factorial experimental design', 'factorial experimental design', 'factorial', 'response equation', 'cumulative pore volume', 'pore diameter', 'polymer molecular weight', 'textural difference']"
W3080456339,"['electron tomography', 'imaging method', 'material deformation dynamics', 'material deformation', 'transmission electron microscopy', 'microscopy', 'three-dimensional material deformation imaging', 'three-dimensional imaging', 'material changes', 'deformable specimen', 'dislocation movement', 'crystalline specimen', 'crystalline', 'tem', 'in-situ transmission electron microscopy', 'in-situ', 'electron microscopy', 'microscopy', 'fast tilt-series dataset acquisition', 'tilt-series dataset acquisition', 'dataset acquisition', 'electron tomography', 'specimen-straining', 'polycrystalline material', 'crystalline material', 'atomic resolution', 'structural crystalline material', 'crystalline', 'dislocation dynamics', 'imaging method for dislocation dynamics', 'imaging method']"
W2018356596,"['small-angle scattering', 'scattering', 'condensed matter', 'inhomogeneity', 'particulate inhomogeneity', 'particulate', 'condensed matter media', 'x-ray scattering', 'x-ray', 'neutron scattering', 'light scattering', 'neutron', 'light', 'particulate microstructure', 'phase separating alloy', 'phase separating', 'ni08al02 alloy system', 'alloy system', 'maximum entropy technique', 'saxs data analysis', 'data analysis']"
