id,doi,display_name,publication_date,abstract,concepts,source_id,elements
W2900082915,https://doi.org/10.1016/j.commatsci.2018.10.028,"First-principles calculations of phase transition, elasticity, phonon spectra, and thermodynamic properties for hafnium",2019-02-01,"First-principles calculations of phase transition, elasticity, phonon spectra, and thermodynamic properties for hafnium. In this work, structural transformation, elastic behaviors, phonon spectra, and thermodynamic properties upon hydrostatic compression of hafnium are investigated by using first-principle density functional theory. Our calculated equilibrium structural parameters and the transition pressures of are well consistent with experiments. At ambient pressure, the elastic constants indicate that the and phases are mechanically stable while the phase is unstable. The thermal properties including bulk modulus, entropy, and heat capacity in wide range of pressure and temperature for -Hf are predicted. We present results of the phonon spectra and phonon density of states for the three experimentally observed phases and discuss the effects of pressure and temperature on those properties. The -Hf is mechanically and dynamically stable at high pressure or at high temperature. Employing the quasiharmonic approximation as well as the Debye model, we calculate the Gibbs free energy and predict the pressure-temperature phase diagram.","[('Phonon', 2, '0.7717427'), ('Hafnium', 3, '0.7383109'), ('Ab initio quantum chemistry methods', 3, '0.54460865'), ('Phase transition', 2, '0.5248825'), ('Materials science', 0, '0.49500507'), ('Elasticity (physics)', 2, '0.47347322'), ('Spectral line', 2, '0.4723576'), ('Thermodynamics', 1, '0.42804474'), ('Condensed matter physics', 1, '0.41246104'), ('Chemistry', 0, '0.3141467'), ('Physics', 0, '0.15661752'), ('Metallurgy', 1, '0.101533026'), ('Molecule', 2, '0.073524326'), ('Zirconium', 2, '0.0'), ('Organic chemistry', 1, '0.0'), ('Astronomy', 1, '0.0')]",S26018076,Hf
W2416971465,https://doi.org/10.1016/j.msea.2016.06.016,Residual stress distribution of a 6061-T6 aluminum alloy under shear deformation,2016-07-18,"Residual stress distribution of a 6061-T6 aluminum alloy under shear deformation. There is a lack of information with regards to the friction effect in ECAPed aluminum alloys, even though it might substantially modify the deformation at the surface. In this work, the friction effect at the surface and the deformation heterogeneity in the ECAPed aluminum alloy 6061-T6 were characterized. X-Ray diffraction was used to determine residual stresses RS on the sample surface. The volumetric sections were characterized by Synchrotron diffraction at ESRF beamline ID15B Grenoble, France. It was found that the microhardness mapping and residual stress results showed a good agreement with the finite element analysis for the first layer studied. Minor strain variation, Delta d/d as a function of hkl planes, for the different analyzed sections was found. The study also showed that there was an incomplete symmetry in the residual stress near the surface, even at up to a depth of 400 gm. The regions with higher deformation were found to be at the top and bottom parts of the sample, while the central region showed stress variations of up to 50 MPa. C2016 Elsevier B.V. All rights reserved.","[('Residual stress', 2, '0.7398597'), ('Alloy', 2, '0.7073214'), ('Materials science', 0, '0.68643'), ('Aluminium', 2, '0.55085486'), ('Shear stress', 2, '0.5249148'), ('Shear (geology)', 2, '0.5032007'), ('Deformation (meteorology)', 2, '0.4906117'), ('Composite material', 1, '0.40468827'), ('Structural engineering', 1, '0.35830414'), ('Metallurgy', 1, '0.3456633'), ('Engineering', 0, '0.10783595')]",S154732359,"B,C2016"
W2080720507,https://doi.org/10.4028/www.scientific.net/msf.467-470.1105,Simulating the Interaction between a Straight Boundary and a Particle,2004-10-01,"Simulating the Interaction between a Straight Boundary and a Particle. The paper describes large scale, three-dimensional, Potts model simulations of the interaction between a coarse particle and a straight boundary driven by a bulk stored energy difference across the boundary. It is shown that the variation of the interaction energy as a function of the interface position is significantly affected by the choice of the lattice temperature. The maximum force offered by the particle on the grain boundary decreases with increasing lattice temperature and approaches the theoretical limit at high lattice temperatures. The boundary velocity responds appropriately to changes in the magnitude and direction of the interaction force only at high lattice temperatures.","[('Lattice (music)', 2, '0.6823187'), ('Materials science', 0, '0.6437207'), ('Condensed matter physics', 1, '0.55833924'), ('Interaction energy', 3, '0.5521669'), ('Boundary value problem', 2, '0.48830533'), ('Grain boundary', 3, '0.4645417'), ('Mechanics', 1, '0.4002234'), ('Physics', 0, '0.2749396'), ('Quantum mechanics', 1, '0.054242134'), ('Microstructure', 2, '0.05415994'), ('Molecule', 2, '0.0'), ('Acoustics', 1, '0.0'), ('Metallurgy', 1, '0.0')]",S87940674,
W2564831122,https://doi.org/10.1088/1361-651x/aa549f,Dendritic growth shapes in kinetic Monte Carlo models,2017-01-09,"Dendritic growth shapes in kinetic Monte Carlo models. For the most part, the study of dendritic crystal growth has focused on continuum models featuring surface energies that yield six pointed dendrites. In such models, the growth shape is a function of the surface energy anisotropy, and recent work has shown that considering a broader class of anisotropies yields a correspondingly richer set of growth morphologies. Motivated by this work, we generalize nanoscale models of dendritic growth based on kinetic Monte Carlo simulation. In particular, we examine the effects of extending the truncation radius for atomic interactions in a bond-counting model. This is done by calculating the model's corresponding surface energy and equilibrium shape, as well as by running KMC simulations to obtain nanodendritic growth shapes. Additionally, we compare the effects of extending the interaction radius in bond-counting models to that of extending the number of terms retained in the cubic harmonic expansion of surface energy anisotropy in the context of continuum models.","[('Kinetic Monte Carlo', 3, '0.8348605'), ('Materials science', 0, '0.83251077'), ('Monte Carlo method', 2, '0.6548647'), ('Kinetic energy', 2, '0.62672365'), ('Statistical physics', 1, '0.5491028'), ('Classical mechanics', 1, '0.10447696'), ('Physics', 0, '0.081801206'), ('Statistics', 1, '0.06844002'), ('Mathematics', 0, '0.05896476')]",S117777245,
W2986467929,https://doi.org/10.1016/j.jmst.2019.10.001,Effect of atomic structure on preferential oxidation of alloys: amorphous versus crystalline Cu-Zr,2020-03-01,"Effect of atomic structure on preferential oxidation of alloys: amorphous versus crystalline CuZr. The effect of structural order in the parent alloy substrate on the oxidation kinetics and oxide phase evolution was investigated for the thermal oxidation of amorphous Cu33at.%Zr67at.% and crystalline CuZr2 alloys of identical compositions in the temperature range of. It was found that, besides the strong preferential oxidation of Zr in both alloys, the lack of structural order in the amorphous Cu33at.%Zr67at.% alloy results in much slower oxidation kinetics, as well as in distinctly different microstructures of the oxide overgrowth and its Zr-depletion zone in the wake of the ZrO2 overlayer growth front. The experimental findings can be rationalized on the basis of the strikingly different atomic mobilities of Cu, Zr and dissolved O in the amorphous and crystalline alloys, which also results in different nucleation barriers for crystalline oxide nucleation. The thus obtained knowledge on the underlying oxidation mechanisms provides new and profound insights into the surface engineering of metallic alloys.","[('Materials science', 0, '0.903968'), ('Amorphous solid', 2, '0.66815114'), ('Amorphous metal', 3, '0.5374603'), ('Metallurgy', 1, '0.4625271'), ('Crystallography', 1, '0.4397469'), ('Chemical engineering', 1, '0.42443785'), ('Alloy', 2, '0.23110649'), ('Chemistry', 0, '0.03779921'), ('Engineering', 0, '0.0')]",S135187643,"Cu,CuZr,CuZr2,O,Zr,ZrO2"
W2006751105,https://doi.org/10.1016/j.msea.2007.02.116,Pressureless sintering of carbon-coated zirconium diboride powders,2007-06-25,"Pressureless sintering of carbon-coated zirconium diboride powders. Carbon-coated zirconium diboride powders were sintered to near theoretical density at temperatures as low as without an external pressure. Relative density increased from 70% for uncoated ZrB2 to >99% for ZrB2 coated with at least 1.0wt% carbon. Thermodynamic analysis indicated that carbon reacted with and removed oxide impurities ZrO2 and B2O3 that were present on the particle surfaces, which promoted densification by minimizing grain coarsening. The effects of initial particle size and carbon content on densification, microstructure, and properties were investigated.","[('Zirconium diboride', 3, '0.9337841'), ('Materials science', 0, '0.79921913'), ('Zirconium', 2, '0.65530455'), ('Sintering', 2, '0.585581'), ('Metallurgy', 1, '0.5409182'), ('Pressureless sintering', 3, '0.46389866'), ('Carbon fibers', 3, '0.43630844'), ('Composite material', 1, '0.2396495'), ('Composite number', 2, '0.048984945')]",S154732359,"B2O3,ZrB2,ZrO2"
W3175304074,https://doi.org/10.1007/s10853-021-06277-3,Improvements in the modulus and strength of multi-dimensional hybrid composites through synergistic reinforcement between 1D fiber and 0D particle fillers,2021-09-01,"Improvements in the modulus and strength of multi-dimensional hybrid composites through synergistic reinforcement between 1D fiber and 0D particle fillers. Alumina toughened zirconia ATZ, aluminum Al and titanium Ti particulate fillers were added to carbon fiber-reinforced polycarbonate composites PCCF at the percolation threshold 20 vol.% to form a hybrid composite with multi-dimensional fillers. Experiments indicate that the storage modulus and yield strength were increased by a maximum of 148% and 8%, respectively. In contrast, mechanical properties of the composite deteriorated when additional 1-dimensional 1D chopped carbon fibers were incorporated in any amount. Using the HashinShtrikman and Suquet analysis to remove the influence of filler material property, it was shown that the stiffening and strengthening occurred because 0D particles could be dispersed in the interstitial sites of the PCCF composite more easily than 1D fibers without causing significant agglomeration. Theoretical predictions from previous studies and electrical conductivity measurements support this premise. Employment of this novel strategy produced polycarbonate hybrid composites with specific strengths exceeding that of magnesium alloys, steel and some aluminum alloy grades, as well as combinations of strength and density not found in current engineering materials.","[('Materials science', 0, '0.94015026'), ('Composite material', 1, '0.85920405'), ('Polycarbonate', 2, '0.6463087'), ('Composite number', 2, '0.6433312'), ('Particle (ecology)', 2, '0.47970006'), ('Fiber', 2, '0.45248443'), ('Modulus', 2, '0.43810004'), ('Percolation threshold', 3, '0.41494283'), ('Electrical resistivity and conductivity', 2, '0.23714864'), ('Oceanography', 1, '0.0'), ('Engineering', 0, '0.0'), ('Electrical engineering', 1, '0.0'), ('Geology', 0, '0.0')]",S26125866,"Al,PCCF,Ti"
W1986073609,https://doi.org/10.1016/j.commatsci.2006.10.024,Numerical study on laser forming of metal plates with pre-loads,2007-07-01,"Numerical study on laser forming of metal plates with pre-loads. This paper presents a numerical investigation on the effects of various pre-loads on the bent angle of the plate by using the laser forming process. The pre-loads investigated include pure compression, pure tension and pure bending. The analysis is performed using the nonlinear finite element analysis program ANSYS. The results obtained show that pure compression and pure bending where the bending is toward the laser beam can increase the bent angle, while the pure tension and pure bending where the bending is away from the laser beam will decrease the bent angle.","[('Materials science', 0, '0.5486709'), ('Laser', 2, '0.5296701'), ('Metal', 2, '0.47965315'), ('Structural engineering', 1, '0.38703537'), ('Composite material', 1, '0.36217028'), ('Metallurgy', 1, '0.31975704'), ('Optics', 1, '0.22832516'), ('Engineering', 0, '0.18369782'), ('Physics', 0, '0.15132701')]",S26018076,
W2792916278,https://doi.org/10.1016/j.mser.2018.02.004,Solution-processable organic and hybrid gate dielectrics for printed electronics,2018-05-01,"Solution-processable organic and hybrid gate dielectrics for printed electronics. Over the few past decades, printed electronics as an emerging technology have achieved tremendous progress in material design and device fabrication.are the key building blocks of many electronic devices. Printablehave promising applications in flexible circuits, sensors and backplanes for active-matrix displays. Gate dielectrics play key roles into afford electrical insulating properties and interfaces for charge transport. In this paper, we review the recent progress of polymer and hybrid dielectrics for printable The requirement and mechanism of the gate dielectrics, different types of materials and remaining challenges for this field are presented. This review will provide comprehensive and timely guidelines for dielectric design and device engineering towards the fabrication of printed low-voltage and high-performance","[('Materials science', 0, '0.65477014'), ('Electronics', 2, '0.6170665'), ('Dielectric', 2, '0.58415025'), ('Organic electronics', 4, '0.570063'), ('Gate dielectric', 4, '0.52510107'), ('Printed electronics', 3, '0.49205202'), ('Optoelectronics', 1, '0.47259742'), ('Electrical engineering', 1, '0.29528016'), ('Transistor', 3, '0.17697436'), ('Engineering', 0, '0.15195283'), ('Voltage', 2, '0.05208236')]",S1018252914,
W2066165582,https://doi.org/10.1016/s0921-5093(00)01528-8,Investigation of hydrogen induced phase transition from a-Si:H to μc-Si:H using real time infrared spectroscopy,2001-05-31,"Investigation of hydrogen induced phase transition from a-Si:H to c-Si:H using real time infrared spectroscopy. In this paper, we present the use of real time process monitors to study hydrogen induced phase transition from hydrogenated amorphous silicon a-Si:H to hydrogenated microcrystalline silicon c-Si:H films. We determine the H bonding configurations and H concentration in the film using a real time, high sensitivity infrared reflectance spectroscopy. Spectroscopic ellipsometry is used to determine whether the film is amorphous or crystalline, and to measure the film thickness. The SiH bonding and film microstructure are monitored in three sets of experiments: during deposition of c-Si:H using DC reactive magnetron sputtering; exposure of unhydrogenated amorphous silicon a-Si to atomic hydrogen; exposure of a-Si to hydrogen plasma. In the first experiment, a transition layer of a-Si:H is deposited before c-Si:H growth starts. Results show no evidence of enhanced etching during c-Si:H growth compared to a-Si:H deposition under same processing conditions. In the second experiment, hydrogen coverage of the a-Si:H surface drops at higher temperatures due to thermal desorption. Lastly, when exposed to hydrogen plasma a-Si film is first hydrogenated, and then it transforms to microcrystalline phase with a concomitant decrease in H content. Based on these results, we conclude that the role of H is to assist in the nucleation of c-Si phase and provide enough surface coverage to facilitate the diffusion of surface species. We also suggest that","[('Infrared spectroscopy', 2, '0.71885943'), ('Infrared', 2, '0.6958469'), ('Spectroscopy', 2, '0.65020245'), ('Hydrogen', 2, '0.5766602'), ('Phase transition', 2, '0.50870234'), ('Materials science', 0, '0.4926756'), ('Phase (matter)', 2, '0.48802558'), ('Analytical Chemistry (journal)', 2, '0.44750273'), ('Silicon', 2, '0.41772562'), ('Chemistry', 0, '0.3608805'), ('Optoelectronics', 1, '0.19564557'), ('Optics', 1, '0.16873455'), ('Physics', 0, '0.14422187'), ('Condensed matter physics', 1, '0.08287123'), ('Organic chemistry', 1, '0.047552764'), ('Quantum mechanics', 1, '0.0')]",S154732359,"H,Si,SiH"
